tensor([459.9995, -99.9998,  58.0000], dtype=torch.float64)
tensor([439.9995, -99.9998,  58.0000], dtype=torch.float64)
tensor([ 379.9999, -100.0001,   58.0000], dtype=torch.float64)
tensor([ 399.9999, -100.0001,   58.0000], dtype=torch.float64)
tensor([430.0001, -77.9999,  18.0000], dtype=torch.float64)
tensor([ 429.9997, -103.0000,   18.0000], dtype=torch.float64)
tensor([410.0001, -78.0000,  18.0000], dtype=torch.float64)
tensor([ 410.0000, -103.0002,   18.0000], dtype=torch.float64)
tensor([420.0001, -59.9996,  16.0000], dtype=torch.float64)
tensor([410.0001, -50.0000,  26.0000], dtype=torch.float64)
tensor([430.0002, -50.0000,  26.0000], dtype=torch.float64)
tensor([410.0002, -30.0000,  34.0000], dtype=torch.float64)
tensor([430.0002, -30.0000,  34.0000], dtype=torch.float64)
tensor([420.0002, -19.9997,  24.0000], dtype=torch.float64)
tensor([ 430.0003, -130.0004,   26.0000], dtype=torch.float64)
tensor([ 409.9999, -130.0004,   26.0000], dtype=torch.float64)
tensor([ 420.0002, -140.0004,   18.0000], dtype=torch.float64)
tensor([ 430.0003, -130.0004,   10.0000], dtype=torch.float64)
tensor([ 410.0001, -130.0004,   10.0000], dtype=torch.float64)
tensor([ 420.0002, -150.0005,    8.2000], dtype=torch.float64)
tensor([ 410.0001, -119.9999,    8.0000], dtype=torch.float64)
tensor([ 430.0004, -119.9999,    8.0000], dtype=torch.float64)
tensor([ 430.0004, -150.0005,   26.0000], dtype=torch.float64)
tensor([ 410.0001, -150.0005,   26.0000], dtype=torch.float64)
tensor([ 430.0004, -120.0000,   29.9720], dtype=torch.float64)
tensor([ 409.9999, -120.0000,   29.9720], dtype=torch.float64)
tensor([390.0000, -40.0000,  58.0000], dtype=torch.float64)
tensor([450.0004, -40.0001,  58.0000], dtype=torch.float64)
tensor([450.0001, -30.0000,  50.0000], dtype=torch.float64)
tensor([390.0000, -30.0000,  50.0000], dtype=torch.float64)
tensor([449.9995, -79.9998,  42.0000], dtype=torch.float64)
tensor([389.9999, -80.0001,  42.0000], dtype=torch.float64)
tensor([389.9999, -90.0001,  50.0000], dtype=torch.float64)
tensor([449.9995, -89.9998,  50.0000], dtype=torch.float64)
tensor([400.0001, -30.0000,  42.0000], dtype=torch.float64)
tensor([440.0001, -30.0000,  42.0000], dtype=torch.float64)
tensor([390.0001, -30.0000,  36.0000], dtype=torch.float64)
tensor([450.0001, -30.0000,  36.0000], dtype=torch.float64)
tensor([400.0001, -70.0000,  34.0000], dtype=torch.float64)
tensor([440.0001, -70.0000,  34.0000], dtype=torch.float64)
tensor([390.0001, -70.0000,  28.0000], dtype=torch.float64)
tensor([450.0001, -70.0000,  28.0000], dtype=torch.float64)
tensor([420.0001, -70.0000,  42.0000], dtype=torch.float64)
tensor([420.0001, -30.0000,  50.0000], dtype=torch.float64)
